numExecute,numTests,typeOperator,typeStatement,mcCabe Compleity,depNestedLoops,Ca,Ce,Instability,LOC,methodAssert,classAssert,Label
1,1,10,2,3,0,0,0,0,16,4,8,survived
4,2,5,1,4,2,2,8,0.8,113,0,3,killed
10,4,6,1,4,2,2,8,0.8,113,1,3,survived
10,4,6,1,4,2,2,8,0.8,113,1,3,killed
21,4,6,1,5,2,2,8,0.8,113,1,3,killed
43,4,6,1,5,2,2,8,0.8,113,1,3,killed
4,2,6,1,4,2,2,8,0.8,113,0,3,killed
6,3,6,1,2,2,2,8,0.8,113,0,3,killed
10,4,14,1,4,2,2,8,0.8,113,1,3,survived
10,4,17,1,4,2,2,8,0.8,113,1,3,survived
10,4,17,1,4,2,2,8,0.8,113,1,3,survived
11,4,17,1,5,2,2,8,0.8,113,1,3,killed
10,4,17,1,5,2,2,8,0.8,113,1,3,killed
20,12,2,3,1,3,1,8,0.89,378,15,65,killed
15,5,5,1,2,3,1,8,0.89,378,26,65,killed
62,21,5,1,5,3,1,8,0.89,378,46,65,killed
61,21,5,1,5,3,1,8,0.89,378,46,65,killed
5,5,5,2,5,3,1,8,0.89,378,3,65,killed
20,1,5,1,14,3,1,8,0.89,378,0,65,killed
58,22,5,1,14,3,1,8,0.89,378,46,65,killed
54,19,5,1,14,3,1,8,0.89,378,46,65,survived
7,2,5,1,14,3,1,8,0.89,378,0,65,survived
4,3,5,1,14,3,1,8,0.89,378,0,65,killed
15,7,6,1,4,3,1,8,0.89,378,14,65,killed
15,7,6,1,4,3,1,8,0.89,378,14,65,killed
15,7,6,1,4,3,1,8,0.89,378,14,65,killed
16,5,6,1,4,3,1,8,0.89,378,11,65,killed
16,5,6,1,4,3,1,8,0.89,378,11,65,killed
16,5,6,1,4,3,1,8,0.89,378,16,65,killed
16,5,6,1,3,3,1,8,0.89,378,16,65,killed
15,15,6,1,3,3,1,8,0.89,378,26,65,killed
2,1,6,2,2,3,1,8,0.89,378,5,65,killed
62,63,6,1,3,3,1,8,0.89,378,46,65,killed
61,61,6,1,3,3,1,8,0.89,378,46,65,killed
10,4,6,1,5,3,1,8,0.89,378,3,65,killed
5,5,6,1,5,3,1,8,0.89,378,6,65,killed
1,1,6,2,1,3,1,8,0.89,378,2,65,killed
66,22,6,1,14,3,1,8,0.89,378,46,65,killed
20,1,6,1,14,3,1,8,0.89,378,0,65,killed
58,22,6,1,14,3,1,8,0.89,378,46,65,killed
54,19,6,1,14,3,1,8,0.89,378,46,65,survived
54,19,6,1,14,3,1,8,0.89,378,46,65,survived
7,2,6,1,14,3,1,8,0.89,378,0,65,survived
7,2,6,1,14,3,1,8,0.89,378,0,65,survived
4,3,6,1,14,3,1,8,0.89,378,0,65,killed
4,4,6,1,5,3,1,8,0.89,378,3,65,killed
4,4,6,1,5,3,1,8,0.89,378,3,65,killed
3,2,6,1,5,3,1,8,0.89,378,3,65,killed
3,2,6,1,5,3,1,8,0.89,378,3,65,survived
2,2,6,1,5,3,1,8,0.89,378,3,65,killed
7,2,6,1,4,3,1,8,0.89,378,8,65,killed
7,2,6,1,4,3,1,8,0.89,378,8,65,killed
11,5,6,1,4,3,1,8,0.89,378,4,65,killed
11,5,6,1,4,3,1,8,0.89,378,4,65,killed
7,5,6,1,4,3,1,8,0.89,378,4,65,killed
1,1,9,3,3,3,1,8,0.89,378,2,65,killed
1,1,10,3,3,3,1,8,0.89,378,2,65,killed
15,7,14,1,4,3,1,8,0.89,378,14,65,killed
16,5,14,1,4,3,1,8,0.89,378,11,65,survived
16,5,14,1,3,3,1,8,0.89,378,16,65,killed
66,22,14,1,14,3,1,8,0.89,378,46,65,killed
20,1,14,1,14,3,1,8,0.89,378,0,65,killed
3,2,14,1,5,3,1,8,0.89,378,3,65,killed
11,5,14,1,4,3,1,8,0.89,378,4,65,survived
16,5,17,1,4,3,1,8,0.89,378,11,65,killed
16,5,17,1,3,3,1,8,0.89,378,16,65,killed
66,22,17,1,14,3,1,8,0.89,378,46,65,killed
