Mutant Number,Line Number,Statement,Hits,Number of tests,Number of Asserts,Operator,Type of Statement,Complexity,LOC,DepthofNestedLoops,Total Duration,Label
1,81,"order = min(-(int(math.floor(math.log10(timespan)) // 3)), 3)",0,0,0,AOD,expression,10,100,1,15.17619, survived
2,53,"lengths = ((24 * 60) * 60, 60 * 60, 60, 1)",1,1,1,AOR,expression,10,100,1,15.17619, killed 
3,53,"lengths = ((24 * 60) * 60, 60 * 60, 60, 1)",1,1,1,AOR,expression,10,100,1,15.17619, killed 
4,53,"lengths = ((24 * 60) * 60, 60 * 60, 60, 1)",1,1,1,AOR,expression,10,100,1,15.17619, killed 
5,53,"lengths = ((24 * 60) * 60, 60 * 60, 60, 1)",1,1,1,AOR,expression,10,100,1,15.17619, killed 
6,53,"lengths = ((24 * 60) * 60, 60 * 60, 60, 1)",1,1,1,AOR,expression,10,100,1,15.17619, killed 
7,53,"lengths = ((24 * 60) * 60, 60 * 60, 60, 1)",1,1,1,AOR,expression,10,100,1,15.17619, killed 
8,53,"lengths = ((24 * 60) * 60, 60 * 60, 60, 1)",1,1,1,AOR,expression,10,100,1,15.17619, killed 
9,53,"lengths = ((24 * 60) * 60, 60 * 60, 60, 1)",1,1,1,AOR,expression,10,100,1,15.17619, killed 
10,53,"lengths = ((24 * 60) * 60, 60 * 60, 60, 1)",1,1,1,AOR,expression,10,100,1,15.17619, killed 
11,56,value = int(time / length),1,1,1,AOR,expression,10,100,1,15.17619, survived
12,56,value = int(time / length),1,1,1,AOR,expression,10,100,1,15.17619, killed 
13,60,"yield '%i%s' % (value, suffix)",1,1,1,AOR,expression,10,100,1,15.17619, incompetent
14,81,"order = min(-(int(math.floor(math.log10(timespan)) // 3)), 3)",0,0,0,AOR,expression,10,100,1,15.17619, survived
15,81,"order = min(-(int(math.floor(math.log10(timespan)) // 3)), 3)",0,0,0,AOR,expression,10,100,1,15.17619, survived
16,81,"order = min(-(int(math.floor(math.log10(timespan)) // 3)), 3)",0,0,0,AOR,expression,10,100,1,15.17619, survived
17,85,"return '%.*g %s' % (precision, timespan * scale[order], units[order])",0,0,0,AOR,return,10,100,1,15.17619, survived
18,85,"return '%.*g %s' % (precision, timespan * scale[order], units[order])",0,0,0,AOR,return,10,100,1,15.17619, survived
19,85,"return '%.*g %s' % (precision, timespan * scale[order], units[order])",0,0,0,AOR,return,10,100,1,15.17619, survived
20,85,"return '%.*g %s' % (precision, timespan * scale[order], units[order])",0,0,0,AOR,return,10,100,1,15.17619, survived
21,91,cpu_usr = end[0] - start[0],0,0,0,AOR,expression,3,100,1,15.17619, survived
22,92,cpu_sys = end[1] - start[1],0,0,0,AOR,expression,3,100,1,15.17619, survived
23,99,"times = (human_time(x) for x in (cpu_usr, cpu_sys, cpu_usr + cpu_sys))",0,0,0,AOR,expression,3,100,1,15.17619, survived
24,59,time %= length,1,1,1,ASR,expression,10,100,1,15.17619, killed 
25,63,break,1,1,1,BCR,expression,10,100,1,15.17619, survived
26,30,"if sys.version_info < (3, 3, 0):",0,0,0,COI,condition,1,100,1,15.17619, survived
27,48,if timespan >= 60.0:,2,1,1,COI,condition,10,100,1,15.17619, killed 
28,58,if value > 0:,1,1,1,COI,condition,10,100,1,15.17619, killed 
29,62,if time < 1:,1,1,1,COI,condition,10,100,1,15.17619, killed 
30,71,"if (hasattr(sys.stdout, 'encoding') and sys.stdout.encoding == 'UTF-8'):",0,0,0,COI,condition,10,100,1,15.17619, survived
31,79,if timespan > 0.0:,0,0,0,COI,condition,10,100,1,15.17619, survived
33,75,pass,0,0,0,EHD,expression,10,100,1,15.17619, survived
34,96,return 'Time elapsed: {}'.format(human_time(cpu_usr)),0,0,0,EHD,return,3,100,1,15.17619, survived
36,96,return 'Time elapsed: {}'.format(human_time(cpu_usr)),0,0,0,EXS,return,3,100,1,15.17619, survived
37,71,"if (hasattr(sys.stdout, 'encoding') and sys.stdout.encoding == 'UTF-8'):",0,0,0,LCR,condition,10,100,1,15.17619, survived
38,30,"if sys.version_info < (3, 3, 0):",0,0,0,ROR,condition,1,100,1,15.17619, survived
39,30,"if sys.version_info < (3, 3, 0):",0,0,0,ROR,condition,1,100,1,15.17619, survived
40,48,if timespan >= 60.0:,2,1,1,ROR,condition,10,100,1,15.17619, killed 
41,48,if timespan >= 60.0:,2,1,1,ROR,condition,10,100,1,15.17619, survived
42,58,if value > 0:,1,1,1,ROR,condition,10,100,1,15.17619, killed 
43,58,if value > 0:,1,1,1,ROR,condition,10,100,1,15.17619, survived
44,62,if time < 1:,1,1,1,ROR,condition,10,100,1,15.17619, killed 
45,62,if time < 1:,1,1,1,ROR,condition,10,100,1,15.17619, survived
46,71,"if (hasattr(sys.stdout, 'encoding') and sys.stdout.encoding == 'UTF-8'):",0,0,0,ROR,condition,10,100,1,15.17619, survived
47,79,if timespan > 0.0:,0,0,0,ROR,condition,10,100,1,15.17619, survived
48,79,if timespan > 0.0:,0,0,0,ROR,condition,10,100,1,15.17619, survived
49,42,return resource.getrusage(resource.RUSAGE_CHILDREN)[:2],0,0,0,SIR,return,1,100,1,15.17619, survived
